window_start,window_open,btc_final,actual_outcome,correct_at_30s,btc_at_30s,poly_price_30s,correct_at_60s,btc_at_60s,poly_price_60s,ev_at_60s,correct_at_90s,btc_at_90s,poly_price_90s,correct_at_120s,btc_at_120s,poly_price_120s,ev_at_120s,correct_at_180s,btc_at_180s,poly_price_180s,ev_at_180s
1774510200,69969.87,69958.19,Down,True,69957.42,0.55,True,69948.33,0.5700000000000001,True,True,69957.72,0.5800000000000001,True,69926.55,0.72,True,True,69819.95,0.99,False
1774510500,69958.19,70056.48,Up,False,69946.63,0.53,True,69987.68,0.65,True,True,69985.83,0.64,True,69976.55,0.66,True,True,70028.98,0.93,False
1774510800,70056.48,70071.97,Up,True,70095.05,0.67,True,70096.95,0.67,True,True,70091.25,0.74,True,70059.32,0.52,True,False,70051.93,0.5900000000000001,True
1774511100,70071.97,70085.83,Up,True,70083.94,0.61,True,70074.98,0.47,True,True,70084.78,0.57,False,70063.24,0.52,True,True,70081.18,0.59,True
1774511400,70085.83,70160.81,Up,True,70091.65,0.61,True,70091.65,0.55,True,True,70095.29,0.66,True,70096.64,0.6,True,True,70108.64,0.81,True
1774511700,70160.81,70087.45,Down,True,70146.09,0.5700000000000001,True,70145.42,0.63,True,True,70127.71,0.75,True,70112.64,0.81,False,True,70106.67,0.94,False
1774512000,70087.44,70062.0,Down,True,70079.74,0.62,False,70098.29,0.59,True,False,70126.99,0.74,False,70104.01,0.58,True,False,70098.27,0.59,True
1774512300,70062.0,70050.01,Down,True,70030.02,0.6799999999999999,True,70055.5,0.5,True,True,70054.34,0.51,False,70093.98,0.76,True,False,70093.41,0.79,True
1774512600,70050.01,69924.81,Down,True,70011.11,0.6799999999999999,True,70011.1,0.73,False,True,69990.07,0.8,True,69997.08,0.8200000000000001,False,True,69965.08,0.95,False
1774512900,69924.82,69879.17,Down,False,69961.29,0.68,False,69969.16,0.71,False,False,69973.82,0.71,False,69982.52,0.8,False,False,69975.44,0.83,False
1774513200,69884.34,69874.53,Down,False,69906.87,0.66,False,69917.34,0.67,True,False,69899.93,0.56,True,69883.3,0.49,True,True,69840.16,0.79,True
1774513500,69874.53,69826.84,Down,True,69873.91,0.47,True,69841.92,0.6799999999999999,True,True,69872.52,0.41000000000000003,True,69857.34,0.5900000000000001,True,True,69855.53,0.63,True
1774513800,69826.84,69872.32,Up,False,69825.64,0.48,True,69826.85,0.52,True,True,69837.45,0.64,True,69846.0,0.68,True,True,69867.53,0.85,False
1774514100,69872.31,69848.32,Down,False,69916.27,0.81,False,69880.28,0.51,True,False,69895.9,0.66,False,69881.82,0.56,True,True,69868.0,0.56,True
1774514400,69848.32,69937.33,Up,False,69844.98,0.55,False,69842.01,0.56,True,False,69844.52,0.55,True,69855.4,0.56,True,True,69874.33,0.7,True
1774514700,69937.32,69958.36,Up,True,69940.0,0.55,False,69929.45,0.49,True,True,69943.96,0.55,True,70025.55,0.87,False,True,69998.04,0.85,False
1774515000,69958.36,69973.48,Up,False,69957.89,0.51,True,69986.99,0.64,True,True,69996.37,0.72,True,69959.87,0.48,True,True,69960.68,0.47,True
