window_start,btc_open,poly_open,btc_at_30s,poly_at_30s,signal_direction,outcome,won
2026-04-12 01:50 UTC,71424.9,0.595,71424.9,0.685,lower,higher,False
2026-04-12 01:55 UTC,71611.98,0.535,71704.67,0.655,lower,lower,True
2026-04-12 02:00 UTC,71675.6,0.585,71675.6,0.505,higher,lower,False
2026-04-12 02:05 UTC,71488.35,0.525,71467.73,0.585,lower,higher,False
2026-04-12 02:10 UTC,71609.9,0.505,71623.07,0.825,higher,higher,True
2026-04-12 02:15 UTC,71815.72,0.505,71828.19,0.685,higher,higher,True
2026-04-12 02:20 UTC,71881.49,0.505,71881.49,0.535,lower,lower,True
2026-04-12 02:25 UTC,71769.0,0.505,71800.3,0.655,lower,higher,False
2026-04-12 02:30 UTC,71830.66,0.505,71830.82,0.625,higher,higher,True
2026-04-12 02:35 UTC,71927.59,0.505,71927.59,0.515,higher,lower,False
2026-04-12 02:40 UTC,71889.73,0.505,71889.73,0.525,lower,higher,False
2026-04-12 02:45 UTC,71920.32,0.505,71923.95,0.515,lower,lower,True
2026-04-12 02:50 UTC,71854.85,0.505,71854.85,0.645,higher,lower,False
2026-04-12 02:55 UTC,71859.59,0.535,71859.59,0.62,higher,lower,False
2026-04-12 03:00 UTC,71787.55,0.515,71787.55,0.575,higher,higher,True
2026-04-12 03:05 UTC,71864.7,0.545,71864.87,0.545,lower,lower,True
2026-04-12 03:10 UTC,71768.06,0.515,71768.06,0.615,lower,higher,False
2026-04-12 03:15 UTC,71737.41,0.585,71761.95,0.555,lower,lower,True
2026-04-12 03:20 UTC,71739.11,0.575,71699.83,0.505,lower,lower,True
2026-04-12 03:25 UTC,71667.85,0.535,71658.6,0.705,higher,higher,True
2026-04-12 03:30 UTC,71752.21,0.565,71755.61,0.695,higher,lower,False
2026-04-12 03:35 UTC,71711.35,0.595,71691.65,0.635,higher,higher,True
2026-04-12 03:40 UTC,71655.15,0.505,71689.98,0.505,higher,higher,True
2026-04-12 03:45 UTC,71701.72,0.505,71703.93,0.505,higher,lower,False
2026-04-12 03:50 UTC,71696.29,0.515,71695.94,0.665,higher,higher,True
2026-04-12 03:55 UTC,71705.5,0.535,71670.45,0.515,lower,lower,True
2026-04-12 04:00 UTC,71651.56,0.505,71623.7,0.575,higher,higher,True
2026-04-12 04:05 UTC,71663.92,0.565,71670.02,0.645,higher,lower,False
2026-04-12 04:10 UTC,71595.74,0.625,71611.26,0.58,lower,higher,False
2026-04-12 04:15 UTC,71576.17,0.625,71650.91,0.525,lower,lower,True
2026-04-12 04:20 UTC,71553.21,0.505,71553.07,0.675,higher,higher,True
2026-04-12 04:25 UTC,71558.86,0.535,71567.18,0.635,higher,lower,False
2026-04-12 04:30 UTC,71584.49,0.645,71584.49,0.535,higher,higher,True
2026-04-12 04:35 UTC,71583.99,0.505,71583.99,0.625,lower,lower,True
2026-04-12 04:40 UTC,71585.55,0.515,71585.55,0.54,higher,higher,True
2026-04-12 04:45 UTC,71584.81,0.515,71584.81,0.565,lower,higher,False
2026-04-12 04:50 UTC,71586.13,0.505,71586.15,0.535,lower,lower,True
2026-04-12 04:55 UTC,71511.16,0.615,71511.16,0.555,lower,lower,True
2026-04-12 05:00 UTC,71493.06,0.525,71507.43,0.635,lower,higher,False
2026-04-12 05:05 UTC,71528.58,0.525,71525.56,0.605,lower,higher,False
2026-04-12 05:10 UTC,71580.28,0.565,71582.43,0.515,lower,lower,True
2026-04-12 05:15 UTC,71539.75,0.505,71536.7,0.595,higher,higher,True
2026-04-12 05:20 UTC,71555.6,0.515,71552.26,0.615,higher,higher,True
2026-04-12 05:25 UTC,71673.95,0.545,71673.95,0.595,lower,higher,False
2026-04-12 05:30 UTC,71679.63,0.58,71693.46,0.555,higher,lower,False
2026-04-12 05:35 UTC,71734.97,0.545,71685.42,0.585,lower,higher,False
2026-04-12 05:40 UTC,71684.74,0.505,71684.86,0.525,lower,lower,True
2026-04-12 05:45 UTC,71676.73,0.515,71681.65,0.505,higher,higher,True
2026-04-12 05:50 UTC,71752.32,0.525,71769.1,0.645,lower,lower,True
2026-04-12 05:55 UTC,71722.72,0.505,71734.1,0.535,higher,higher,True
2026-04-12 06:00 UTC,71735.17,0.525,71735.17,0.535,lower,higher,False
2026-04-12 06:05 UTC,71746.31,0.515,71749.51,0.545,higher,lower,False
2026-04-12 06:10 UTC,71748.95,0.505,71733.89,0.505,lower,higher,False
2026-04-12 06:15 UTC,71768.56,0.545,71762.52,0.625,lower,lower,True
2026-04-12 06:20 UTC,71720.2,0.515,71721.16,0.535,lower,higher,False
2026-04-12 06:25 UTC,71709.3,0.545,71721.62,0.535,lower,higher,False
2026-04-12 06:30 UTC,71736.88,0.615,71732.59,0.675,lower,lower,True
2026-04-12 06:35 UTC,71686.33,0.515,71682.53,0.555,lower,higher,False
2026-04-12 06:40 UTC,71688.8,0.515,71689.79,0.575,lower,lower,True
2026-04-12 06:45 UTC,71687.75,0.505,71692.11,0.575,higher,lower,False
2026-04-12 06:50 UTC,71682.83,0.505,71693.74,0.725,higher,higher,True
2026-04-12 06:55 UTC,71692.2,0.505,71683.97,0.535,lower,lower,True
2026-04-12 07:00 UTC,71677.33,0.715,71670.95,0.745,lower,lower,True
2026-04-12 07:05 UTC,71646.79,0.525,71627.08,0.625,lower,higher,False
2026-04-12 07:10 UTC,71663.22,0.505,71663.22,0.615,higher,lower,False
2026-04-12 07:15 UTC,71661.33,0.615,71661.33,0.625,higher,higher,True
2026-04-12 07:20 UTC,71648.28,0.515,71657.21,0.635,lower,lower,True
2026-04-12 07:25 UTC,71657.34,0.505,71644.76,0.615,lower,higher,False
2026-04-12 07:30 UTC,71655.88,0.515,71654.89,0.545,lower,higher,False
2026-04-12 07:35 UTC,71670.66,0.505,71670.66,0.505,lower,higher,False
2026-04-12 07:40 UTC,71744.43,0.515,71745.71,0.545,higher,higher,True
2026-04-12 07:45 UTC,71768.12,0.555,71769.17,0.575,lower,lower,True
2026-04-12 07:50 UTC,71726.61,0.505,71726.61,0.565,lower,higher,False
2026-04-12 07:55 UTC,71761.43,0.535,71761.43,0.565,lower,lower,True
2026-04-12 08:00 UTC,71713.62,0.645,71713.62,0.555,higher,lower,False
2026-04-12 08:05 UTC,71677.34,0.615,71687.94,0.725,higher,higher,True
2026-04-12 08:10 UTC,71677.33,0.565,71685.29,0.545,lower,lower,True
2026-04-12 08:15 UTC,71687.0,0.505,71687.0,0.695,higher,lower,False
2026-04-12 08:20 UTC,71678.92,0.515,71678.92,0.515,higher,higher,True
2026-04-12 08:25 UTC,71726.62,0.515,71731.73,0.525,higher,lower,False
2026-04-12 08:30 UTC,71730.03,0.505,71727.05,0.615,lower,lower,True
2026-04-12 08:35 UTC,71721.64,0.505,71720.12,0.5,higher,higher,True
2026-04-12 08:40 UTC,71762.34,0.505,71768.41,0.575,higher,higher,True
2026-04-12 08:45 UTC,71770.54,0.505,71770.46,0.755,lower,lower,True
2026-04-12 08:50 UTC,71663.95,0.525,71656.56,0.505,higher,lower,False
2026-04-12 08:55 UTC,71642.08,0.555,71642.08,0.565,higher,higher,True
2026-04-12 09:00 UTC,71663.0,0.525,71655.13,0.505,higher,lower,False
